Forecast Iteration.[Forecast Iteration],Version.[Version Name],Time.[Partial Week],Stat Bucket Weight,Stat Bucket Weight AUR,Stat Bucket Weight AUR Fcst
FI-Default,CurrentWorkingView,03-Jul-16,0.2413793103448276,0.2,1
FI-Default,CurrentWorkingView,10-Jul-16,0.2413793103448276,0,0
FI-Default,CurrentWorkingView,17-Jul-16,0.2413793103448276,0,0
FI-Default,CurrentWorkingView,24-Jul-16,0.2413793103448276,0,0
FI-Default,CurrentWorkingView,31-Jul-16,0.034482758620689655,0,0
FI-Default,CurrentWorkingView,01-Aug-16,0.1935483870967742,0.2,1
FI-Default,CurrentWorkingView,07-Aug-16,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,14-Aug-16,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,21-Aug-16,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,28-Aug-16,0.12903225806451613,0,0
FI-Default,CurrentWorkingView,01-Sep-16,0.1,0.2,1
FI-Default,CurrentWorkingView,04-Sep-16,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,11-Sep-16,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,18-Sep-16,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,25-Sep-16,0.2,0,0
FI-Default,CurrentWorkingView,01-Oct-16,0.03225806451612903,0.16666666666666666,1
FI-Default,CurrentWorkingView,02-Oct-16,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,09-Oct-16,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,16-Oct-16,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,23-Oct-16,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,30-Oct-16,0.06451612903225806,0,0
FI-Default,CurrentWorkingView,01-Nov-16,0.16666666666666666,0.2,1
FI-Default,CurrentWorkingView,06-Nov-16,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,13-Nov-16,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,20-Nov-16,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,27-Nov-16,0.13333333333333333,0,0
FI-Default,CurrentWorkingView,01-Dec-16,0.0967741935483871,0.2,1
FI-Default,CurrentWorkingView,04-Dec-16,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,11-Dec-16,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,18-Dec-16,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,25-Dec-16,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,01-Jan-17,0.22580645161290322,0.2,1
FI-Default,CurrentWorkingView,08-Jan-17,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,15-Jan-17,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,22-Jan-17,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,29-Jan-17,0.0967741935483871,0,0
FI-Default,CurrentWorkingView,01-Feb-17,0.14285714285714285,0.2,1
FI-Default,CurrentWorkingView,05-Feb-17,0.25,0,0
FI-Default,CurrentWorkingView,12-Feb-17,0.25,0,0
FI-Default,CurrentWorkingView,19-Feb-17,0.25,0,0
