BusinessOrg.[Business Org],Forecast Iteration.[Forecast Iteration],Version.[Version Name],Location.[Country],Channel.[MPU Level 3],Time.[Partial Week],Item.[Product Planning Level],Ensemble Fcst Weighted
GSA,FI-Default,Test,CHINA,Nike Direct - Stores,05-Apr-26,Nike_NOT_SUPPLD_KIDS_APPAREL DIVISION_GLOBAL FOOTBALL,0.074115968
GSA,FI-Default,Test,CHINA,Nike Direct - Stores,05-Apr-26,Nike_NOT_SUPPLD_WOMENS_APPAREL DIVISION_BASKETBALL,0.700003765
GSA,FI-Default,Test,TAIWAN,Nike Direct - Stores,05-Apr-26,Nike_NOT_SUPPLD_WOMENS_APPAREL DIVISION_BASKETBALL,0
GSA,FI-Default,Test,CHINA,Nike Direct - Stores,05-Apr-26,Nike_NOT_SUPPLD_KIDS_APPAREL DIVISION_BASKETBALL,0
GSA,FI-Default,Test,CHINA,Nike Direct - Stores,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_GLOBAL FOOTBALL,51.47837103
GSA,FI-Default,Test,HONG KONG,Nike Direct - Stores,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_GLOBAL FOOTBALL,0.704888666
GSA,FI-Default,Test,TAIWAN,Nike Direct - Stores,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_GLOBAL FOOTBALL,3.76E-06
GSA,FI-Default,Test,CHINA,Nike Direct - Stores,05-Apr-26,Nike_NOT_SUPPLD_MENS_EQUIPMENT DIVISION_GLOBAL FOOTBALL,14.22042816
GSA,FI-Default,Test,CHINA,Nike Direct - Stores,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_BASKETBALL,112.8128133
GSA,FI-Default,Test,TAIWAN,Nike Direct - Stores,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_BASKETBALL,18.17771841
GSA,FI-Default,Test,CHINA,Nike Direct - Stores,05-Apr-26,Nike_KOBE_MENS_APPAREL DIVISION_BASKETBALL,0
GSA,FI-Default,Test,CHINA,Nike Direct - Stores,05-Apr-26,Nike_NOT_SUPPLD_MENS_EQUIPMENT DIVISION_BASKETBALL,41.81145629
GSA,FI-Default,Test,TAIWAN,Nike Direct - Stores,05-Apr-26,Nike_NOT_SUPPLD_MENS_EQUIPMENT DIVISION_BASKETBALL,0.990520778
GSA,FI-Default,Test,CHINA,Nike Direct - Stores,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_TENNIS,8.145880522
GSA,FI-Default,Test,CHINA,Nike Direct - Stores,05-Apr-26,Nike_NOT_SUPPLD_WOMENS_APPAREL DIVISION_GLOBAL FOOTBALL,3.76E-06
GSA,FI-Default,Test,CHINA,Nike Direct - Stores,05-Apr-26,Nike_KOBE_MENS_APPAREL DIVISION_GLOBAL FOOTBALL,2.284752985
GSA,FI-Default,Test,CHINA,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_KIDS_APPAREL DIVISION_GLOBAL FOOTBALL,18.69187903
GSA,FI-Default,Test,HONG KONG,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_KIDS_APPAREL DIVISION_GLOBAL FOOTBALL,6.453550247
GSA,FI-Default,Test,TAIWAN,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_KIDS_APPAREL DIVISION_GLOBAL FOOTBALL,0.00011287
GSA,FI-Default,Test,CHINA,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_SPORTSWEAR,1.08E-05
GSA,FI-Default,Test,HONG KONG,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_SPORTSWEAR,0.347019334
GSA,FI-Default,Test,TAIWAN,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_TRAINING,0
GSA,FI-Default,Test,CHINA,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_WOMENS_APPAREL DIVISION_BASKETBALL,6.565057164
GSA,FI-Default,Test,HONG KONG,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_WOMENS_APPAREL DIVISION_BASKETBALL,2.391779546
GSA,FI-Default,Test,TAIWAN,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_WOMENS_APPAREL DIVISION_BASKETBALL,1.817779544
GSA,FI-Default,Test,TAIWAN,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_BASEBALL,0
GSA,FI-Default,Test,CHINA,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_GLOBAL FOOTBALL,687.5678623
GSA,FI-Default,Test,HONG KONG,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_GLOBAL FOOTBALL,21.9228454
GSA,FI-Default,Test,TAIWAN,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_GLOBAL FOOTBALL,2.116041827
GSA,FI-Default,Test,CHINA,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_MENS_EQUIPMENT DIVISION_GLOBAL FOOTBALL,365.6834785
GSA,FI-Default,Test,HONG KONG,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_MENS_EQUIPMENT DIVISION_GLOBAL FOOTBALL,36.3778327
GSA,FI-Default,Test,TAIWAN,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_MENS_EQUIPMENT DIVISION_GLOBAL FOOTBALL,11.10897056
GSA,FI-Default,Test,CHINA,Nike Marketplace Partners,05-Apr-26,Nike_KOBE_KIDS_APPAREL DIVISION_GLOBAL FOOTBALL,1.08E-05
GSA,FI-Default,Test,CHINA,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_BASKETBALL,804.2896479
GSA,FI-Default,Test,HONG KONG,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_BASKETBALL,181.0781008
GSA,FI-Default,Test,TAIWAN,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_BASKETBALL,259.1189554
GSA,FI-Default,Test,CHINA,Nike Marketplace Partners,05-Apr-26,Nike_KOBE_MENS_APPAREL DIVISION_BASKETBALL,0
GSA,FI-Default,Test,HONG KONG,Nike Marketplace Partners,05-Apr-26,Nike_KOBE_MENS_APPAREL DIVISION_BASKETBALL,0
GSA,FI-Default,Test,TAIWAN,Nike Marketplace Partners,05-Apr-26,Nike_KOBE_MENS_APPAREL DIVISION_BASKETBALL,0
GSA,FI-Default,Test,CHINA,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_MENS_EQUIPMENT DIVISION_BASKETBALL,233.905001
GSA,FI-Default,Test,HONG KONG,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_MENS_EQUIPMENT DIVISION_BASKETBALL,202.4708542
GSA,FI-Default,Test,TAIWAN,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_MENS_EQUIPMENT DIVISION_BASKETBALL,1175.938822
GSA,FI-Default,Test,CHINA,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_TENNIS,108.6177766
GSA,FI-Default,Test,HONG KONG,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_TENNIS,11.20990851
GSA,FI-Default,Test,TAIWAN,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_TENNIS,0.654156432
GSA,FI-Default,Test,CHINA,Nike Marketplace Partners,05-Apr-26,Nike_NOT_SUPPLD_WOMENS_APPAREL DIVISION_GLOBAL FOOTBALL,0.00011287
GSA,FI-Default,Test,CHINA,Nike Marketplace Partners,05-Apr-26,Nike_KOBE_MENS_APPAREL DIVISION_GLOBAL FOOTBALL,65.13293132
GSA,FI-Default,Test,HONG KONG,Nike Marketplace Partners,05-Apr-26,Nike_KOBE_MENS_APPAREL DIVISION_GLOBAL FOOTBALL,3.565315592
GSA,FI-Default,Test,TAIWAN,Nike Marketplace Partners,05-Apr-26,Nike_KOBE_MENS_APPAREL DIVISION_GLOBAL FOOTBALL,0.753713575
GSA,FI-Default,Test,CHINA,Douyin,05-Apr-26,Nike_NOT_SUPPLD_WOMENS_APPAREL DIVISION_BASKETBALL,0
GSA,FI-Default,Test,CHINA,Douyin,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_GLOBAL FOOTBALL,0
GSA,FI-Default,Test,CHINA,Douyin,05-Apr-26,Nike_NOT_SUPPLD_MENS_APPAREL DIVISION_BASKETBALL,0.311299238
