Item_Division,Channel_MPU,Total_Actuals,Grouping_Level,Channel_MPU_Level_3
APPAREL DIVISION,EMEA Nike Value Stores MPU,107111792.74762215,Division_MPU,
APPAREL DIVISION,EMEA JD Group MPU,84828323.36949839,Division_MPU,
APPAREL DIVISION,EMEA Key Sport Partners MPU,67720839.53740145,Division_MPU,
FOOTWEAR DIVISION,EMEA Nike Value Stores MPU,65122530.42795169,Division_MPU,
FOOTWEAR DIVISION,EMEA NDDC MPU,63839733.32802287,Division_MPU,
FOOTWEAR DIVISION,EMEA JD Group MPU,60996571.24244635,Division_MPU,
APPAREL DIVISION,EMEA Performance Authenticators MPU,60435184.49107894,Division_MPU,
FOOTWEAR DIVISION,EMEA CEMEA MPU,54604133.734027036,Division_MPU,
APPAREL DIVISION,EMEA CEMEA MPU,53439688.5651319,Division_MPU,
FOOTWEAR DIVISION,EMEA Key Sport Partners MPU,51479411.75375546,Division_MPU,
EQUIPMENT DIVISION,EMEA Key Sport Partners MPU,39955938.86277716,Division_MPU,
APPAREL DIVISION,EMEA NDDC MPU,39931750.22348064,Division_MPU,
FOOTWEAR DIVISION,EMEA Zalando Group MPU,30674913.85160362,Division_MPU,
EQUIPMENT DIVISION,EMEA JD Group MPU,29098553.169176895,Division_MPU,
APPAREL DIVISION,EMEA Sports Direct Group MPU,28725438.774157707,Division_MPU,
FOOTWEAR DIVISION,EMEA Authenticators & Key Lifestyle Partners MPU,27458713.973440807,Division_MPU,
FOOTWEAR DIVISION,EMEA Snipes and D Group MPU,27451342.300855823,Division_MPU,
EQUIPMENT DIVISION,EMEA Nike Value Stores MPU,25496554.17696327,Division_MPU,
APPAREL DIVISION,EMEA Zalando Group MPU,25032614.06141305,Division_MPU,
FOOTWEAR DIVISION,EMEA Foot Locker Group MPU,23885151.494813807,Division_MPU,
APPAREL DIVISION,EMEA Authenticators & Key Lifestyle Partners MPU,23654686.237256985,Division_MPU,
FOOTWEAR DIVISION,EMEA Sports Direct Group MPU,22427886.239229314,Division_MPU,
APPAREL DIVISION,EMEA Nike Stores Partner MPU,19858389.64017728,Division_MPU,
EQUIPMENT DIVISION,EMEA CEMEA MPU,18969984.090390794,Division_MPU,
EQUIPMENT DIVISION,EMEA Performance Authenticators MPU,18551614.244821943,Division_MPU,
EQUIPMENT DIVISION,EMEA Snipes and D Group MPU,16514036.513106067,Division_MPU,
EQUIPMENT DIVISION,EMEA Sports Direct Group MPU,14898628.62466175,Division_MPU,
FOOTWEAR DIVISION,EMEA Performance Authenticators MPU,13675169.740287036,Division_MPU,
FOOTWEAR DIVISION,EMEA Nike Stores Partner MPU,11369841.877490466,Division_MPU,
EQUIPMENT DIVISION,EMEA NDDC MPU,11139093.069902802,Division_MPU,
