Item_Division,Channel_MPU,Total_Actuals
APPAREL DIVISION,3PW_Value,3937241.5910234624
APPAREL DIVISION,EMEA Authenticators & Key Lifestyle Partners MPU,23654686.237256985
APPAREL DIVISION,EMEA CEMEA MPU,53439688.5651319
APPAREL DIVISION,EMEA Foot Locker Group MPU,10252909.065705167
APPAREL DIVISION,EMEA Historical Accounts,87780.48045643
APPAREL DIVISION,EMEA JD Group MPU,84828323.36949839
APPAREL DIVISION,EMEA Key Sport Partners MPU,67720839.53740145
APPAREL DIVISION,EMEA NDDC MPU,39931750.22348064
APPAREL DIVISION,EMEA Nike Stores Owned MPU,4460027.0274999505
APPAREL DIVISION,EMEA Nike Stores Partner MPU,19858389.64017728
APPAREL DIVISION,EMEA Nike Value Stores MPU,107111792.74762215
APPAREL DIVISION,EMEA Performance Authenticators MPU,60435184.49107894
APPAREL DIVISION,EMEA Snipes and D Group MPU,8311181.48875714
APPAREL DIVISION,EMEA Sports Direct Group MPU,28725438.774157707
APPAREL DIVISION,EMEA Zalando Group MPU,25032614.06141305
EQUIPMENT DIVISION,3PW_Value,146442.050837885
EQUIPMENT DIVISION,EMEA Authenticators & Key Lifestyle Partners MPU,9588935.73569807
EQUIPMENT DIVISION,EMEA CEMEA MPU,18969984.090390794
EQUIPMENT DIVISION,EMEA Foot Locker Group MPU,4800035.678480651
EQUIPMENT DIVISION,EMEA Historical Accounts,20605.150130333
EQUIPMENT DIVISION,EMEA JD Group MPU,29098553.169176895
EQUIPMENT DIVISION,EMEA Key Sport Partners MPU,39955938.86277716
EQUIPMENT DIVISION,EMEA NDDC MPU,11139093.069902802
EQUIPMENT DIVISION,EMEA Nike Stores Owned MPU,1356861.0088185202
EQUIPMENT DIVISION,EMEA Nike Stores Partner MPU,7751771.078688403
EQUIPMENT DIVISION,EMEA Nike Value Stores MPU,25496554.17696327
EQUIPMENT DIVISION,EMEA Performance Authenticators MPU,18551614.244821943
EQUIPMENT DIVISION,EMEA Snipes and D Group MPU,16514036.513106067
EQUIPMENT DIVISION,EMEA Sports Direct Group MPU,14898628.62466175
EQUIPMENT DIVISION,EMEA Zalando Group MPU,9831582.382061625
FOOTWEAR DIVISION,3PW_Value,2207958.620078319
FOOTWEAR DIVISION,EMEA Authenticators & Key Lifestyle Partners MPU,27458713.973440807
FOOTWEAR DIVISION,EMEA CEMEA MPU,54604133.734027036
FOOTWEAR DIVISION,EMEA Foot Locker Group MPU,23885151.494813807
FOOTWEAR DIVISION,EMEA Historical Accounts,76979.47040737429
FOOTWEAR DIVISION,EMEA JD Group MPU,60996571.24244635
FOOTWEAR DIVISION,EMEA Key Sport Partners MPU,51479411.75375546
FOOTWEAR DIVISION,EMEA NDDC MPU,63839733.32802287
FOOTWEAR DIVISION,EMEA Nike Stores Owned MPU,2276211.0142175
FOOTWEAR DIVISION,EMEA Nike Stores Partner MPU,11369841.877490466
FOOTWEAR DIVISION,EMEA Nike Value Stores MPU,65122530.42795169
FOOTWEAR DIVISION,EMEA Performance Authenticators MPU,13675169.740287036
FOOTWEAR DIVISION,EMEA Snipes and D Group MPU,27451342.300855823
FOOTWEAR DIVISION,EMEA Sports Direct Group MPU,22427886.239229314
FOOTWEAR DIVISION,EMEA Zalando Group MPU,30674913.85160362
NOT_SUPPLD,EMEA Authenticators & Key Lifestyle Partners MPU,869758.0746629401
NOT_SUPPLD,EMEA CEMEA MPU,510748.6433177302
NOT_SUPPLD,EMEA Foot Locker Group MPU,14398.220119060003
NOT_SUPPLD,EMEA JD Group MPU,2769707.62396053
NOT_SUPPLD,EMEA Key Sport Partners MPU,4834267.014053374
NOT_SUPPLD,EMEA Nike Stores Partner MPU,3353.000023
NOT_SUPPLD,EMEA Performance Authenticators MPU,755991.1544645502
NOT_SUPPLD,EMEA Snipes and D Group MPU,13633.060052500003
NOT_SUPPLD,EMEA Sports Direct Group MPU,681431.3246199999
NOT_SUPPLD,EMEA Zalando Group MPU,223520.00152559995
