Item_Sports_Planning_Level,Channel_MPU_Level_3,Total_Actuals
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,3PW_Value,324.2100026666
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,AGS GP,0.8699999975000001
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,AGS NSP FOX D,74.0000003
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,BARCIN SPOR,440.00000213
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,CE NSP FOX,307.00000242999994
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,ELIZINN,59.00000067
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,EMEA NDDC MPU,6072.000010629999
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,EMEA Nike Stores Owned MPU,264.00000136
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,EMEA Nike Value Stores MPU,148.00000048000004
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,FOX,7562.000049859998
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,GMG,89.00000069999999
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,GREECE NSP PERCASSI,1776.00001131
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,ITALY NSP PERCASSI,4976.000017740001
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,NE NSP FOX,418.0000034300001
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,NORDICS NSP FOX,90.00000006
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,PL NSP FOX,426.0000023
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,PORTUGAL NSP PERCASSI,59.00000092999999
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,SPAIN NSP PERCASSI,887.00000586
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,ZALANDO LOUNGE,673.1100044000001
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Training,FOX,100.000001
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan_Other,AGS NSP FOX D,2.0
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan_Other,BARCIN SPOR,6635.000044729999
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan_Other,CE NSP FOX,19.0000001
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan_Other,ELIZINN,94.00000038
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan_Other,EMEA NDDC MPU,58.0
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan_Other,EMEA Nike Value Stores MPU,2.00000003
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan_Other,FOX,28862.000016020003
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan_Other,GMG,1.0
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan_Other,NE NSP FOX,7.00000003
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan_Other,NORDICS NSP FOX,2.00000003
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan_Other,NSA NSP,907.0000041
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan_Other,PL NSP FOX,16.000000019999998
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,3PW_Value,326.20000342000003
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,AGS NSP FOX D,269.0000013899999
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,BASKETBALL,3.9800000240000006
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,CE NSP FOX,961.00000641
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,EMEA NDDC MPU,9980.00002847
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,EMEA Nike Stores Owned MPU,499.00000196
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,EMEA Nike Value Stores MPU,259.00000124
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,FOX,6.00000002
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,GMG,8.00000013
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,GREECE NSP PERCASSI,673.0000047499999
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,ITALY NSP PERCASSI,1530.00000559
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,NE NSP FOX,974.00000677
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,NORDICS NSP FOX,99.00000060000002
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,PERMASHOP,1.0
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,PL NSP FOX,318.0000024799999
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,PORTUGAL NSP PERCASSI,8.00000013
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,SPAIN NSP PERCASSI,131.00000086
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,ZALANDO LOUNGE,190.0300019
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Streetwear,3PW_Value,12268.230024449997
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Streetwear,AGS GP,2.460000024
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Streetwear,AGS NSP FOX D,6467.0000248000015
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Streetwear,ARCO,398.9500015899999
