Item Planning Level,Actuals
Nike_Other_MENS_APPAREL DIVISION_Mens Lifestyle_Nike Sportswear Mens & Womens,35356926.31000189
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Fitness_Training Mens & Womens,13836943.1035
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Lifestyle_Nike Sportswear Mens & Womens,13341606.101999996
Nike_Other_WOMENS_APPAREL DIVISION_Womens Lifestyle_Nike Sportswear Mens & Womens,11378160.074
Nike_Other_KIDS_APPAREL DIVISION_Kids Lifestyle_Nike Sportswear Kids,9855870.071699996
Nike_SKIMS_WOMENS_APPAREL DIVISION_Womens Holistic Fitness_Training Mens & Womens,9545056.060499998
Nike_Other_KIDS_FOOTWEAR DIVISION_Kids Lifestyle_Nike Sportswear Kids,9095742.058999998
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Lifestyle_Nike Sportswear Mens & Womens,8611149.058799997
Nike_Other_MENS_APPAREL DIVISION_Mens Running_Running Mens & Womens,7585173.033100259
Nike_Other_MENS_APPAREL DIVISION_Mens Fitness_Training Mens & Womens,6752855.046401
Nike_Other_WOMENS_APPAREL DIVISION_Womens Running_Running Mens & Womens,6557963.037799998
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Running_Running Mens & Womens,6492246.043799997
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Running_Running Mens & Womens,4393589.024999999
Nike_Other_KIDS_FOOTWEAR DIVISION_Kids Running and Fitness_Running Kids,3848057.020499999
Nike_Other_MENS_APPAREL DIVISION_Mens Football_Global Football Mens & Womens,3818211.0255500013
Jordan_Other_MENS_APPAREL DIVISION_Jordan Streetwear_Jordan Streetwear,3677855.0182
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Lifestyle_Nike Sportswear Mens & Womens,3544070.0246000206
Nike_Other_KIDS_APPAREL DIVISION_Kids Running and Fitness_Training Kids,2650552.015900001
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Football_Global Football Mens & Womens,2317013.0148
Jordan_Other_MENS_FOOTWEAR DIVISION_Jordan Streetwear_Jordan Streetwear,2074748.0107300004
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Fitness_Training Mens & Womens,2060827.0120000008
Nike_Other_KIDS_APPAREL DIVISION_Kids Football_Global Football Kids,1969336.0087569999
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Football_Global Football Mens & Womens,1937651.009
Nike_Other_KIDS_EQUIPMENT DIVISION_Kids Running and Fitness_Training Kids,1862221.0096000005
Nike_Other_MENS_APPAREL DIVISION_Mens Lifestyle_Nike_Other,1804893.0069
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Holistic Fitness_Training Mens & Womens,1764220.0124
