Item.[Sports Planning Level],Actual Cleansed
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,24645.1901172541
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan Training,100.000001
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Sport_Jordan_Other,36605.00006544
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,16236.210066144
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Streetwear,951834.6258691504
Jordan_Other_KIDS_APPAREL DIVISION_Kids Lifestyle_Jordan_Other,252.00000096
Jordan_Other_KIDS_EQUIPMENT DIVISION_Jordan Sport_Jordan_Other,55872.000328319984
Jordan_Other_KIDS_EQUIPMENT DIVISION_Jordan Streetwear_Jordan Global Football,36.000000050000004
Jordan_Other_KIDS_EQUIPMENT DIVISION_Jordan Streetwear_Jordan Streetwear,19176.00009705
Jordan_Other_KIDS_EQUIPMENT DIVISION_Kids Lifestyle_Jordan_Other,21.00000009
Jordan_Other_KIDS_FOOTWEAR DIVISION_Jordan Sport_Jordan Basketball,433127.9424960721
Jordan_Other_KIDS_FOOTWEAR DIVISION_Jordan Sport_Jordan_Other,1.0
Jordan_Other_KIDS_FOOTWEAR DIVISION_Jordan Streetwear_Jordan Streetwear,12766428.905656684
Jordan_Other_MENS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,4913914.980073732
Jordan_Other_MENS_APPAREL DIVISION_Jordan Sport_Jordan Global Football,2035.640008425
Jordan_Other_MENS_APPAREL DIVISION_Jordan Sport_Jordan Golf,79911.820506059
Jordan_Other_MENS_APPAREL DIVISION_Jordan Sport_Jordan Training,52207.76035232399
Jordan_Other_MENS_APPAREL DIVISION_Jordan Sport_Jordan_Other,32940.0601616413
Jordan_Other_MENS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,583466.4631831127
Jordan_Other_MENS_APPAREL DIVISION_Jordan Streetwear_Jordan Streetwear,20182132.458223134
Jordan_Other_MENS_APPAREL DIVISION_Jordan Streetwear_Jordan_Other,425849.2823085017
Jordan_Other_MENS_EQUIPMENT DIVISION_Jordan Sport_Jordan American Football,185.00000162999999
Jordan_Other_MENS_EQUIPMENT DIVISION_Jordan Sport_Jordan Baseball,343.54000228999996
