MPU Level 3,Total Actuals
EMEA Nike Value Stores MPU,197730877.35253713
JD,128914669.7418918
EMEA NDDC MPU,114910576.62140632
SPORTSDIRECT,65812051.64806356
ZALANDO,61732727.334043376
IS GROUP FRANCE,36975322.65214265
FOOTLOCKER WE,34408565.192951955
SPORT TIME,32079779.55281842
DEICHMANN FFTW,26813137.533275623
GMG,26325181.241983693
FOOTBALL TEAM,24828895.110523682
SNIPES,21384074.28350405
JD SPRINTER,17756151.1944249
COURIR,15580251.090491172
FOOTBALL TIER 2 TEAM,14503741.935426826
IS GROUP GERMANY,14450607.974793289
ITALY GP,12867425.122199005
IBERIA GP,12409683.244142342
ASOS,11025797.068774192
FOOTBALL 11 TEAMSPORT TEAM,10748789.673071433
EMEA_NBHD,10423869.954263806
BDI,9972282.291322341
SPORT 2000 CE,9931330.33245616
SELECUBE,9517881.927215684
FOOTBALL C&F,9360584.653279316
ABOUT YOU,9056786.25934162
JALAJALG,8120947.082731986
EMEA Nike Stores Owned MPU,8093099.05053597
SPORT 2000 FRANCE,7982304.260432291
FOOTBALL TIER 2 INLINE,7281712.905079582
NEXT,7234063.930717695
STADIUM GROUP,6484957.98819115
AW LAB,6463388.67322564
3PW_Value,6291642.261939666
TURKEY ROB,6120607.301357685
IS GROUP ITALY,6090922.81736665
ECI,5944740.789735591
GB GP,5904531.962818994
NORDICS GP,5584268.032611391
FOOT ASYLUM,5578792.151596918
CEE GP,5501605.324901879
FOX,5399048.03218436
MIG,5396382.53280172
ITALY NSP PERCASSI,5321612.03209015
NE NSP FOX,5103724.03359834
ANWR,4984956.656581268
BASKETBALL,4861308.015205743
FOOTBALL UNISPORT INLINE,4745050.045302643
TOTALSPORTS,4651624.63178575
BARCIN SPOR,4319559.026958411
SPORTSCENE,4283664.76234318
FOOTLOCKER ISR,4148981.3445799
COSMOS,4054752.306778903
ZALANDO LOUNGE,4029902.9625605172
SA ROB LIFE,3720110.6685390854
ELIZINN,3708488.6687775473
FOOTBALL FUTBOL EMOTION TEAM,3644752.978893311
IS GROUP GREECE,3576135.818413822
GREECE GP,3488307.209244604
ST88,3343208.9728641873
OCHSNER SPORT,3283727.8119698204
FLO,3213394.998512567
FOOTBALL UK PRO-DIRECT INLINE,3129864.52776794
SCHUH,3017259.69756968
IS GROUP AUSTRIA,2801575.2848045644
IS GROUP NETHERLANDS,2716492.4048454682
TENNIS,2674452.264358693
SNEAKS UP,2608663.867588296
JD SPORTS CEE,2537431.3968914202
SKATE,2289888.3529470414
SA PERF AUTH,2276554.023471966
IS GROUP SPORT CHECK,2271222.01534648
IS GROUP SLOVENIA,2266221.4446803634
IS GROUP WEST,2178971.473456344
SPAIN NSP PERCASSI,2107906.0140109803
FOOTBALL UNISPORT TEAM,2045573.4806211093
BOYNER,2008372.3402162078
IS GROUP IBERIA,1967972.410878902
CE NSP FOX,1961266.0115155303
SIZE GROUP,1933905.0126580598
IS GROUP POLAND,1831881.080819281
PL NSP FOX,1794362.0125206402
FORUM SPORT,1733450.41150244
ISRAEL ROB,1702755.0273193885
GREECE NSP PERCASSI,1691911.01199333
OTTO,1638884.67884159
GO SPORT,1531993.24797154
FRANCE GP,1443675.1881459602
ADRENALINE,1429683.1066823422
RUNNING TIER 2,1290751.7564208384
SPORTIVE,1270181.0567591428
NSA NSP,1227261.00686077
AGS NSP FOX D,1202473.0075151802
OFFICE,1185817.0069840401
IS GROUP SWEDEN,1146221.7467660601
NORDICS NSP FOX,1133910.00828665
MGS,1119604.1757242281
IS GROUP DENMARK,1078630.15686912
GOLF,1043308.05536803
IS GROUP FINLAND,961835.0149502229
TERMINAL X,932905.04730239
SPORTMASTER EU,921333.3146052063
IS GROUP NORWAY,823203.084150642
JD SPORTS ISRAEL,796070.455070467
SA BRAND AUTH,795862.9045179618
TUTKU,738411.0237320219
IS GROUP TURKEY,721625.833779245
USL,711921.023423991
HOS,674273.3937078958
IS GROUP SWITZERLAND,664179.3034532755
IS GROUP UKRAINE,586027.4933578776
PERMASHOP,545045.00333098
PORTUGAL NSP PERCASSI,542955.0029829601
SPORT & MODA NSP,537212.8027710484
SOLEBOX,523508.00298851
ARCO,481693.21198521275
BASMAN,405652.162252634
RUNNING I-RUN,402236.652746637
IS GROUP BREUNINGER,396067.032306449
SIDESTEP FTL,394947.92158683005
RUNNING SPORTSHOES.COM,374784.25259105
SUR,370650.72205485904
CHARBI,357849.391741331
MAINLINE,348900.3020055894
BNL GP,337145.4118388179
AGS GP,299707.73176889285
FRANCE NSP BELEP,288691.34166685597
ONYGO,285745.73103352496
FRANCE NSP TARCA,241695.00131117998
HAMASHBIR,218314.53116373398
TRAINING AUTHENTICATORS,165977.8708929431
SA JD,152787.520909782
SPORT YASHIR,96557.05056035223
SPORTAMORE,82109.94040366799
YOOX,43186.670244402005
SPORTMASTER RU,36303.230256227
UP & RUN,28057.080212793997
PREMIUM DEPARTMENT STORES,26286.7801556606
KA LAMODA,23619.3200878403
ATC,16037.470100190001
QATAR,5971.770025250001
JD OUTWEAR,3990.650013276
STREETBEAT (IRG),2693.81000803
CHAU,145.940002
FOOTBALL 11 TEAMSPORT INLINE,0.3199999999999999
